iter	Passed	Remaining
968	3841	122
969	3844	118
970	3847	114
971	3850	110
972	3855	106
973	3858	103
974	3862	99
975	3865	95
976	3867	91
977	3871	87
978	3875	83
979	3878	79
980	3881	75
981	3884	71
982	3888	67
983	3892	63
984	3894	59
985	3897	55
986	3900	51
987	3905	47
988	3908	43
989	3911	39
990	3915	35
991	3919	31
992	3923	27
993	3926	23
994	3929	19
995	3931	15
996	3935	11
997	3938	7
998	3941	3
999	3944	0
